1983-12-02 00:00:00,"release of the ""Thriller"" video"
1983-01-01 00:00:00,"movie ""Return of the Jedi"""
1983-01-01 00:00:00,"release of ""Uptown Girl"""
1982-01-01 00:00:00,start of Tom Brokaw as newscaster
1982-01-01 00:00:00,"movie ""E.T."""
1982-01-01 00:00:00,"movie ""Blade Runner"""
1981-06-01 00:00:00,"release of ""Raiders of the Lost Ark"""
1981-04-12 00:00:00,first Space Shuttle launch
1981-01-01 00:00:00,wedding of Prince Charles and Princess Di
1981-01-01 00:00:00,launch of MTV
1980-05-18 00:00:00,Mt St. Helens eruption
1979-01-01 00:00:00,introduction of Sony Walkman
1979-01-01 00:00:00,Three Mile Island disaster
1977-04-30 00:00:00,"release of ""Star Wars"""
1977-01-01 00:00:00,death of Elvis
1975-04-30 00:00:00,Fall of Saigon
1974-08-09 00:00:00,Nixon resignation
1974-01-01 00:00:00,"release of ""Chinatown"""
1973-01-22 00:00:00,Roe Versus Wade decision
1972-06-17 00:00:00,Watergate break-in
1972-01-01 00:00:00,reelection of Nixon
1970-05-04 00:00:00,Kent State shootings 
1970-05-04 00:00:00,Kent State shootings
1970-01-01 00:00:00,breakup of the Beatles
1969-07-21 00:00:00,first moon landing
1968-04-04 00:00:00,MLK Jr's assassination
1968-01-01 00:00:00,election of Nixon
1967-01-01 00:00:00,release of Sgt. Pepper's Lonely Hearts Club Band
1966-01-01 00:00:00,"first episode of ""Star Trek"""
1964-02-09 00:00:00,Beatles' Ed Sullivan appearance
1963-11-22 00:00:00,assassination of JFK
1962-10-01 00:00:00,Cuban Missile crisis
1962-08-28 00:00:00,"Martin Luther King Jr's ""I Have A Dream"" speech"
1961-01-20 00:00:00,"JFK's ""Ask not what your country can do for you."" speech"
1960-01-01 00:00:00,first televised Presidential debates
1957-01-01 00:00:00,"publication of ""The Cat In The Hat"""
1957-01-01 00:00:00,launch of Sputnik
1957-01-01 00:00:00,"debut of ""Leave It To Beaver"""
1955-12-01 00:00:00,refusal of Rosa Parks to give up her bus seat
1955-04-15 00:00:00,opening of the first McDonald's
1955-01-01 00:00:00,opening of Disneyland
1954-01-01 00:00:00,Brown vs Board of Education decision
1953-01-01 00:00:00,discovery of DNA
1952-01-01 00:00:00,introduction of polio vaccine
1950-01-01 00:00:00,"debut of the ""Peanuts"" comic strip"
1945-01-01 00:00:00,Manhattan Project
1945-01-01 00:00:00,end of WWII
1940-01-01 00:00:00,battle of Britain
1939-01-01 00:00:00,beginning of WWII
1936-01-01 00:00:00,Olympics in Berlin under Hitler
1933-01-01 00:00:00,first inauguration of FDR 
1933-01-01 00:00:00,end of Prohibition
1927-01-01 00:00:00,flight of Lindbergh across Atlantic
1920-01-01 00:00:00,beginning of Prohibition
1919-01-15 00:00:00,molasses flood in Boston
1919-01-01 00:00:00,end of WWI
1914-01-01 00:00:00,beginning of WWI
1906-01-01 00:00:00,Cubs world series win
1906-01-01 00:00:00,San Francisco earthquake
1903-01-01 00:00:00,Wright brothers' first flight
1865-01-01 00:00:00,assassination of Lincoln
1863-01-02 00:00:00,Emancipation Proclamation
1861-01-01 00:00:00,beginning of the Civil War
1852-01-01 00:00:00,publication of Uncle Tom's Cabin
1815-01-01 00:00:00,defeat of Napolean at Waterloo
1804-01-01 00:00:00,Louis and Clark expedition
1803-01-01 00:00:00,Louisiana Purchase
1774-01-01 00:00:00,American revolution
